Date,Year-ended non-farm average earnings per hour growth,Year-ended non-farm labour productivity per hour growth,GDPGrowth,Year-ended household consumption growth,Year-ended dwelling investment growth,Year-ended business investment growth,Year-ended public demand growth,Year-ended domestic final demand growth,Changes in inventories,Changes in inventories contribution to GDP year-ended growth,Year-ended gross national expenditure growth,Household consumption share of output,Dwelling investment share of output,Business investment share of output,Public demand share of output,Private non-financial corporations GOS share of output,Year-ended real household disposable income growth,Household saving ratio,Year-ended inflation,Year-ended inflation target,Year-ended trimmed mean inflation,Year-ended trimmed mean inflation taget,Quarterly inflation,Quarterly inflation annualised,Quarterly inflation annualised target,Quarterly trimmed mean inflation,Quarterly trimmed mean inflation annualised,Quarterly trimmed mean inflation annualised target,Business inflation expectations 3-months ahead,Interest rate,IntRateChange,USDAUD,TWI,Unemployment rate,Unemployment rate trend,Year-ended hours worked trend growth,Average hours worked trend,Job vacancies,Private sector job vacancies,Vacancies to labour force ratio,Consumer Sentiment,GDPGrowth_LAG_1,GDPGrowth_DELTA_1,GDPGrowth_LAG_3,GDPGrowth_DELTA_3,GDPGrowth_LAG_6,GDPGrowth_DELTA_6,GDPGrowth_LAG_12,GDPGrowth_DELTA_12,Year-ended inflation_LAG_1,Year-ended inflation_DELTA_1,Year-ended inflation_LAG_3,Year-ended inflation_DELTA_3,Year-ended inflation_LAG_6,Year-ended inflation_DELTA_6,Year-ended inflation_LAG_12,Year-ended inflation_DELTA_12,Year-ended inflation target_LAG_1,Year-ended inflation target_DELTA_1,Year-ended inflation target_LAG_3,Year-ended inflation target_DELTA_3,Year-ended inflation target_LAG_6,Year-ended inflation target_DELTA_6,Year-ended inflation target_LAG_12,Year-ended inflation target_DELTA_12,Year-ended trimmed mean inflation_LAG_1,Year-ended trimmed mean inflation_DELTA_1,Year-ended trimmed mean inflation_LAG_3,Year-ended trimmed mean inflation_DELTA_3,Year-ended trimmed mean inflation_LAG_6,Year-ended trimmed mean inflation_DELTA_6,Year-ended trimmed mean inflation_LAG_12,Year-ended trimmed mean inflation_DELTA_12,Year-ended trimmed mean inflation taget_LAG_1,Year-ended trimmed mean inflation taget_DELTA_1,Year-ended trimmed mean inflation taget_LAG_3,Year-ended trimmed mean inflation taget_DELTA_3,Year-ended trimmed mean inflation taget_LAG_6,Year-ended trimmed mean inflation taget_DELTA_6,Year-ended trimmed mean inflation taget_LAG_12,Year-ended trimmed mean inflation taget_DELTA_12,Quarterly trimmed mean inflation annualised target_LAG_1,Quarterly trimmed mean inflation annualised target_DELTA_1,Quarterly trimmed mean inflation annualised target_LAG_3,Quarterly trimmed mean inflation annualised target_DELTA_3,Quarterly trimmed mean inflation annualised target_LAG_6,Quarterly trimmed mean inflation annualised target_DELTA_6,Quarterly trimmed mean inflation annualised target_LAG_12,Quarterly trimmed mean inflation annualised target_DELTA_12,Interest rate_LAG_1,Interest rate_DELTA_1,Interest rate_LAG_3,Interest rate_DELTA_3,Interest rate_LAG_6,Interest rate_DELTA_6,Interest rate_LAG_12,Interest rate_DELTA_12,IntRateChange_LAG_1,IntRateChange_DELTA_1,IntRateChange_LAG_3,IntRateChange_DELTA_3,IntRateChange_LAG_6,IntRateChange_DELTA_6,IntRateChange_LAG_12,IntRateChange_DELTA_12,Unemployment rate_LAG_1,Unemployment rate_DELTA_1,Unemployment rate_LAG_3,Unemployment rate_DELTA_3,Unemployment rate_LAG_6,Unemployment rate_DELTA_6,Unemployment rate_LAG_12,Unemployment rate_DELTA_12,Average hours worked trend_LAG_1,Average hours worked trend_DELTA_1,Average hours worked trend_LAG_3,Average hours worked trend_DELTA_3,Average hours worked trend_LAG_6,Average hours worked trend_DELTA_6,Average hours worked trend_LAG_12,Average hours worked trend_DELTA_12,Job vacancies_LAG_1,Job vacancies_DELTA_1,Job vacancies_LAG_3,Job vacancies_DELTA_3,Job vacancies_LAG_6,Job vacancies_DELTA_6,Job vacancies_LAG_12,Job vacancies_DELTA_12,Consumer Sentiment_LAG_1,Consumer Sentiment_DELTA_1,Consumer Sentiment_LAG_3,Consumer Sentiment_DELTA_3,Consumer Sentiment_LAG_6,Consumer Sentiment_DELTA_6,Consumer Sentiment_LAG_12,Consumer Sentiment_DELTA_12,IntRateChangeCoded
1/5/1992,2.9,1.9,0.8,3,3.7,-6.2,-1.8,1,-560,0.1,0.8,58.4,4.9,10.8,25.5,14.2,2.6,6.1,1.7,-0.8,3.3,0.8,0,0,-2.5,0.4,1.6,-0.9,1.9,6.5,0,0.7574,55.2,10.6,10.6,-0.5,33.7,31.9,23.1,0.4,-9,0.1,0.7,0.1,0.7,0.4,0.4,-1.3,2.1,1.7,0,1.5,0.2,3.1,-1.4,4.8,-3.1,-0.8,0,-1,0.2,0.6,-1.4,2.3,-3.1,3.3,0,3.7,-0.4,4.8,-1.5,5.7,-2.4,0.8,0,1.2,-0.4,2.3,-1.5,3.2,-2.4,-0.9,0,0.3,-1.2,1.9,-2.8,0.7,-1.6,6.5,0,7.5,-1,8.5,-2,10.5,-4,-1,1,0,0,0,0,0,0,10.5,0.1,10.4,0.2,10.2,0.4,9.5,1.1,33.7,0,33.8,-0.1,33.8,-0.1,33.7,0,33.3,-1.4,33.3,-1.4,30.9,1,31.6,0.3,-6,-3,-12,3,-18,9,-21,12,0
1/6/1992,2.9,1.9,0.8,3,3.7,-6.2,-1.8,1,-560,0.1,0.8,58.4,4.9,10.8,25.5,14.2,2.6,6.1,1.7,-0.8,3.3,0.8,0,0,-2.5,0.4,1.6,-0.9,1.9,5.75,-0.75,0.7469,54.7,10.8,10.7,-0.3,33.7,31.9,23.1,0.4,-17,0.8,0,0.1,0.7,0.4,0.4,-1.3,2.1,1.7,0,1.5,0.2,3.1,-1.4,4.8,-3.1,-0.8,0,-1,0.2,0.6,-1.4,2.3,-3.1,3.3,0,3.7,-0.4,4.8,-1.5,5.7,-2.4,0.8,0,1.2,-0.4,2.3,-1.5,3.2,-2.4,-0.9,0,0.3,-1.2,1.9,-2.8,0.7,-1.6,6.5,-0.75,7.5,-1.75,7.5,-1.75,10.5,-4.75,0,-0.75,0,-0.75,-1,0.25,0,-0.75,10.6,0.2,10.5,0.3,10.5,0.3,9.5,1.3,33.7,0,33.7,0,33.8,-0.1,33.8,-0.1,31.9,0,33.3,-1.4,30.9,1,31.6,0.3,-9,-8,-7,-10,-19,2,-17,0,-1
1/7/1992,2.9,1.9,0.8,3,3.7,-6.2,-1.8,1,-560,0.1,0.8,58.4,4.9,10.8,25.5,14.2,2.6,6.1,1.2,-1.3,2.8,0.3,-0.2,-0.8,-3.3,0.5,2,-0.5,1.7,5.75,0,0.7439,51.6,11.1,10.8,-0.3,33.7,31.9,23.1,0.4,-20,0.8,0,0.1,0.7,0.4,0.4,-1.3,2.1,1.7,-0.5,1.7,-0.5,1.5,-0.3,3.3,-2.1,-0.8,-0.5,-0.8,-0.5,-1,-0.3,0.8,-2.1,3.3,-0.5,3.3,-0.5,3.7,-0.9,5,-2.2,0.8,-0.5,0.8,-0.5,1.2,-0.9,2.5,-2.2,-0.9,0.4,-0.9,0.4,0.3,-0.8,1.5,-2,5.75,0,6.5,-0.75,7.5,-1.75,10.5,-4.75,-0.75,0.75,-1,1,0,0,0,0,10.8,0.3,10.5,0.6,10.3,0.8,9.7,1.4,33.7,0,33.7,0,33.8,-0.1,33.8,-0.1,31.9,0,33.3,-1.4,30.9,1,31.6,0.3,-17,-3,-6,-14,-19,-1,-15,-5,0
1/8/1992,4.1,2,0.7,3.4,8.5,-3.7,-1.2,2.4,-519,0.5,2.9,58.6,5,10.6,25.6,13.9,1.3,5.4,1.2,-1.3,2.8,0.3,-0.2,-0.8,-3.3,0.5,2,-0.5,1.7,5.75,0,0.7174,51.7,10.7,10.9,-0.3,33.7,33,25.1,0.4,-11,0.8,-0.1,0.8,-0.1,0.1,0.6,-0.2,0.9,1.2,0,1.7,-0.5,1.5,-0.3,3.3,-2.1,-1.3,0,-0.8,-0.5,-1,-0.3,0.8,-2.1,2.8,0,3.3,-0.5,3.7,-0.9,5,-2.2,0.3,0,0.8,-0.5,1.2,-0.9,2.5,-2.2,-0.5,0,-0.9,0.4,0.3,-0.8,1.5,-2,5.75,0,6.5,-0.75,7.5,-1.75,9.5,-3.75,0,0,0,0,0,0,-1,1,11.1,-0.4,10.6,0.1,10.4,0.3,9.8,0.9,33.7,0,33.7,0,33.8,-0.1,33.8,-0.1,31.9,1.1,31.9,1.1,33.3,-0.3,29.8,3.2,-20,9,-9,-2,-12,1,-16,5,0
1/9/1992,4.1,2,0.7,3.4,8.5,-3.7,-1.2,2.4,-519,0.5,2.9,58.6,5,10.6,25.6,13.9,1.3,5.4,1.2,-1.3,2.8,0.3,-0.2,-0.8,-3.3,0.5,2,-0.5,1.7,5.75,0,0.7141,51.9,10.6,11,-0.3,33.7,33,25.1,0.4,-14,0.7,0,0.8,-0.1,0.1,0.6,-0.2,0.9,1.2,0,1.7,-0.5,1.5,-0.3,3.3,-2.1,-1.3,0,-0.8,-0.5,-1,-0.3,0.8,-2.1,2.8,0,3.3,-0.5,3.7,-0.9,5,-2.2,0.3,0,0.8,-0.5,1.2,-0.9,2.5,-2.2,-0.5,0,-0.9,0.4,0.3,-0.8,1.5,-2,5.75,0,5.75,0,7.5,-1.75,9.5,-3.75,0,0,-0.75,0.75,0,0,0,0,10.7,-0.1,10.8,-0.2,10.5,0.1,10,0.6,33.7,0,33.7,0,33.7,0,33.8,-0.1,33,0,31.9,1.1,33.3,-0.3,29.8,3.2,-11,-3,-17,3,-7,-7,-14,0,0
1/10/1992,4.1,2,0.7,3.4,8.5,-3.7,-1.2,2.4,-519,0.5,2.9,58.6,5,10.6,25.6,13.9,1.3,5.4,0.8,-1.7,2.2,-0.3,0.2,0.8,-1.7,0.5,2,-0.5,2.1,5.75,0,0.691,51.8,11.1,11.1,-0.3,33.8,33,25.1,0.4,-5,0.7,0,0.8,-0.1,0.1,0.6,-0.2,0.9,1.2,-0.4,1.2,-0.4,1.7,-0.9,3.1,-2.3,-1.3,-0.4,-1.3,-0.4,-0.8,-0.9,0.6,-2.3,2.8,-0.6,2.8,-0.6,3.3,-1.1,4.8,-2.6,0.3,-0.6,0.3,-0.6,0.8,-1.1,2.3,-2.6,-0.5,0,-0.5,0,-0.9,0.4,1.9,-2.4,5.75,0,5.75,0,6.5,-0.75,8.5,-2.75,0,0,0,0,-1,1,-1,1,10.6,0.5,11.1,0,10.5,0.6,10,1.1,33.7,0.1,33.7,0.1,33.7,0.1,33.8,0,33,0,31.9,1.1,33.3,-0.3,29.8,3.2,-14,9,-20,15,-6,1,-12,7,0
1/11/1992,5.7,2.2,1,2.4,14.9,-1.5,-1.5,1.7,-605,0.6,2.4,58.5,5.2,10.6,26.2,13.7,2.7,6.5,0.8,-1.7,2.2,-0.3,0.2,0.8,-1.7,0.5,2,-0.5,2.1,5.75,0,0.6843,52.4,11.1,11.1,-0.2,33.8,36.9,29.7,0.4,-16,0.7,0.3,0.7,0.3,0.8,0.2,0.4,0.6,0.8,0,1.2,-0.4,1.7,-0.9,3.1,-2.3,-1.7,0,-1.3,-0.4,-0.8,-0.9,0.6,-2.3,2.2,0,2.8,-0.6,3.3,-1.1,4.8,-2.6,-0.3,0,0.3,-0.6,0.8,-1.1,2.3,-2.6,-0.5,0,-0.5,0,-0.9,0.4,1.9,-2.4,5.75,0,5.75,0,6.5,-0.75,8.5,-2.75,0,0,0,0,0,0,0,0,11.1,0,10.7,0.4,10.6,0.5,10.2,0.9,33.8,0,33.7,0.1,33.7,0.1,33.8,0,33,3.9,33,3.9,31.9,5,30.9,6,-5,-11,-11,-5,-9,-7,-18,2,0
1/12/1992,5.7,2.2,1,2.4,14.9,-1.5,-1.5,1.7,-605,0.6,2.4,58.5,5.2,10.6,26.2,13.7,2.7,6.5,0.8,-1.7,2.2,-0.3,0.2,0.8,-1.7,0.5,2,-0.5,2.1,5.75,0,0.6818,51.6,11.2,11.1,0,33.9,36.9,29.7,0.4,-16,1,0,0.7,0.3,0.8,0.2,0.4,0.6,0.8,0,1.2,-0.4,1.7,-0.9,3.1,-2.3,-1.7,0,-1.3,-0.4,-0.8,-0.9,0.6,-2.3,2.2,0,2.8,-0.6,3.3,-1.1,4.8,-2.6,-0.3,0,0.3,-0.6,0.8,-1.1,2.3,-2.6,-0.5,0,-0.5,0,-0.9,0.4,1.9,-2.4,5.75,0,5.75,0,5.75,0,7.5,-1.75,0,0,0,0,-0.75,0.75,-1,1,11.1,0.1,10.6,0.6,10.8,0.4,10.5,0.7,33.8,0.1,33.7,0.2,33.7,0.2,33.8,0.1,36.9,0,33,3.9,31.9,5,30.9,6,-16,0,-14,-2,-17,1,-19,3,0
1/1/1993,5.7,2.2,1,2.4,14.9,-1.5,-1.5,1.7,-605,0.6,2.4,58.5,5.2,10.6,26.2,13.7,2.7,6.5,0.3,-2.2,2,-0.5,0.3,1.2,-1.3,0.6,2.4,-0.1,1.7,5.75,0,0.6755,52.7,10.8,11,0.3,34,36.9,29.7,0.4,-3,1,0,0.7,0.3,0.8,0.2,0.4,0.6,0.8,-0.5,0.8,-0.5,1.2,-0.9,1.5,-1.2,-1.7,-0.5,-1.7,-0.5,-1.3,-0.9,-1,-1.2,2.2,-0.2,2.2,-0.2,2.8,-0.8,3.7,-1.7,-0.3,-0.2,-0.3,-0.2,0.3,-0.8,1.2,-1.7,-0.5,0.4,-0.5,0.4,-0.5,0.4,0.3,-0.4,5.75,0,5.75,0,5.75,0,7.5,-1.75,0,0,0,0,0,0,0,0,11.2,-0.4,11.1,-0.3,11.1,-0.3,10.3,0.5,33.9,0.1,33.8,0.2,33.7,0.3,33.8,0.2,36.9,0,33,3.9,31.9,5,30.9,6,-16,13,-5,2,-20,17,-19,16,0
1/2/1993,4.3,4.9,2.1,2.6,16.1,13.5,3.6,4.4,-1185,-0.3,4.1,57.9,5.4,11.7,25.9,14.9,2.9,5.7,0.3,-2.2,2,-0.5,0.3,1.2,-1.3,0.6,2.4,-0.1,1.7,5.25,-0.5,0.7052,52.9,11,11,0.6,34.1,37,30.4,0.4,-9,1,1.1,1,1.1,0.7,1.4,0.1,2,0.3,0,0.8,-0.5,1.2,-0.9,1.5,-1.2,-2.2,0,-1.7,-0.5,-1.3,-0.9,-1,-1.2,2,0,2.2,-0.2,2.8,-0.8,3.7,-1.7,-0.5,0,-0.3,-0.2,0.3,-0.8,1.2,-1.7,-0.1,0,-0.5,0.4,-0.5,0.4,0.3,-0.4,5.75,-0.5,5.75,-0.5,5.75,-0.5,7.5,-2.25,0,-0.5,0,-0.5,0,-0.5,0,-0.5,10.8,0.2,11.1,-0.1,10.7,0.3,10.4,0.6,34,0.1,33.8,0.3,33.7,0.4,33.8,0.3,36.9,0.1,36.9,0.1,33,4,33.3,3.7,-3,-6,-16,7,-11,2,-12,3,-1
